Dia,Tipo de Exercício,Repetições Totais,Número de Séries,Duração (min),Horário,Intervalo entre Séries (min)
31/08/2024,flexão,15,2.0,1.0,15:20,1
01/09/2024,barra sem peso,24,3.0,1.0,17:00,1
03/09/2024,barra sem peso,20,2.0,,12:30,1
03/09/2024,barra sem peso,20,2.0,,20:52,1
04/09/2024,barra sem peso,20,2.0,,10:15,1
04/09/2024,prancha,3,3.0,1.0,12:50,"0,5"
05/09/2024,barra sem peso,20,2.0,,18:20,1
06/09/2024,barra sem peso,30,3.0,,12:48,1
07/09/2024,barra com peso,20,2.0,,18:17,1
08/09/2024,barra sem peso,30,3.0,,15:17,1
10/09/2024,barra sem peso,26,2.0,,23:55,1
11/09/2024,barra sem peso,30,3.0,,13:30,1
11/09/2024,barra sem peso,20,2.0,,20:12,1
12/09/2024,barra sem peso,20,2.0,,13:00,1
14/09/2024,barra sem peso,40,4.0,,15:26,2
15/09/2024,barra sem peso,15,1.0,,19:36,
16/09/2024,barra sem peso,50,5.0,,10:20,2
18/09/2024,barra sem peso,20,1.0,,20:15,
20/09/2024,barra sem peso,47,5.0,,17:00,2
21/09/2024,prancha,3,3.0,1.0,14:54,"0,5"
21/09/2024,barra sem peso,15,1.0,,16:43,
23/09/2024,barra sem peso,15,1.0,,22:22,
25/09/2024,barra sem peso,25,2.0,,21:18,1
27/09/2024,barra sem peso,20,2.0,,18:40,1
27/09/2024,barra sem peso,30,3.0,,19:56,1
28/09/2024,andar de bike,1,,40.0,5:13,
29/09/2024,barra sem peso,15,1.0,,15:28,
29/09/2024,barra sem peso,39,4.0,,21:09,1
30/09/2024,barra sem peso,30,3.0,,12:44,1
30/09/2024,prancha,3,3.0,1.0,22:20,"0,5"
03/10/2024,barra sem peso,17,1.0,,20:21,
06/10/2024,barra sem peso,30,2.0,,00:20,3
06/10/2024,barra sem peso,30,3.0,,19:10,1
07/10/2024,barra sem peso,19,1.0,,21:52,
08/10/2024,barra sem peso,20,1.0,,19:40,
09/10/2024,barra sem peso,22,2.0,,14:36,1
11/10/2024,barra sem peso,15,1.0,,21:42,
12/10/2024,barra sem peso,10,1.0,,8:16,
12/10/2024,barra sem peso,10,1.0,,9:17,
13/10/2024,barra sem peso,20,1.0,,19:50,
14/10/2024,barra sem peso,30,2.0,,22:00,1
17/10/2024,barra sem peso,32,2.0,,22:46,1
18/10/2024,barra sem peso,22,1.0,,13:29,
18/10/2024,barra sem peso,25,2.0,,19:09,1
19/10/2024,barra sem peso,20,1.0,,23:56,
20/10/2024,barra sem peso,20,1.0,,13:40,
21/10/2024,barra sem peso,40,4.0,,21:08,1
22/10/2024,barra sem peso,20,1.0,,19:40,
26/10/2024,barra sem peso,15,1.0,,20:17,
27/10/2024,barra sem peso,15,1.0,,22:12,
30/10/2024,barra sem peso,39,4.0,,23:46,"0,5"
01/11/2024,barra sem peso,20,1.0,,13:25,
01/11/2024,prancha,2,2.0,1.0,21:59,"0,5"
02/11/2024,barra sem peso,29,2.0,,13:10,1
03/11/2024,barra sem peso,17,1.0,,15:50,
04/11/2024,barra sem peso,15,,,22:22,
04/11/2024,barra com peso,10,1.0,,22:24,
05/11/2024,barra com peso,20,2.0,,18:40,1
06/11/2024,barra sem peso,30,2.0,,17:40,1
06/11/2024,barra sem peso,15,1.0,,19:50,
07/11/2024,barra sem peso,20,1.0,,21:14,
25/11/2024,barra sem peso,20,1.0,,11:35,
26/11/2024,barra sem peso,30,1.0,,14:20,1
27/11/2024,barra sem peso,15,1.0,,22:20,0
30/11/2024,barra sem peso,15,1.0,,16:00,0
02/12/2024,barra sem peso,15,1.0,,12:30,0
03/12/2024,barra sem peso,15,1.0,,14:30,0
04/12/2024,barra sem peso,20,1.0,,13:25,0
04/12/2024,barra sem peso,19,1.0,,21:35,0
05/12/2024,barra sem peso,20,1.0,,13:30,0
05/12/2024,barra sem peso,18,1.0,,19:28,0
05/12/2024,barra sem peso,17,1.0,,20:24,0
06/12/2024,barra sem peso,40,2.0,,7:10,2
06/12/2024,barra sem peso,10,1.0,,10:40,0
06/12/2024,barra sem peso,30,3.0,,12:02,10
06/12/2024,barra sem peso,20,2.0,,13:20,1
07/12/2024,barra sem peso,10,1.0,,12:30,0
07/12/2024,barra sem peso,30,2.0,,13:40,2
07/12/2024,barra sem peso,15,1.0,,17:38,0
07/12/2024,barra sem peso,38,2.0,,18:02,2
07/12/2024,barra sem peso,7,1.0,,19:03,0
08/12/2024,barra sem peso,20,1.0,,7:34,0
08/12/2024,barra sem peso,15,1.0,,10:49,0
08/12/2024,barra sem peso,30,3.0,,19:12,5
08/12/2024,barra sem peso,35,3.0,,21:30,10
09/12/2024,barra sem peso,30,3.0,,13:14,2
09/12/2024,barra sem peso,40,4.0,,15:52,1
09/12/2024,barra sem peso,30,3.0,,18:15,1
10/12/2024,barra sem peso,40,4.0,,13:44,1
10/12/2024,barra sem peso,40,4.0,,18:50,1
